Y	X
  4.7453754e+004  2.7893200e+004
  4.5357500e+004  2.6662400e+004
  4.2732851e+004  2.5120700e+004
  3.9380786e+004  2.3197700e+004
  3.6787200e+004  2.1664100e+004
  3.5161455e+004  2.0652000e+004
  3.3635307e+004  1.9793300e+004
  3.2300073e+004  1.9018800e+004
  3.1601965e+004  1.8584900e+004
  3.0614719e+004  1.8002700e+004
  3.4668806e+004  2.0380100e+004
  3.6204103e+004  2.1320300e+004
  3.8789432e+004  2.2783900e+004
  4.0032216e+004  2.3561600e+004
  4.0307067e+004  2.3720600e+004
  3.8484853e+004  2.2674300e+004
  3.8195738e+004  2.2473800e+004
  4.0132877e+004  2.3552700e+004
  4.4956564e+004  2.6552700e+004
  4.8153151e+004  2.8223100e+004
  4.9600611e+004  2.9201700e+004
  5.0844081e+004  2.9901800e+004
  4.9660446e+004  2.9163900e+004
  4.9385700e+004  2.9060300e+004
  4.6622285e+004  2.7421400e+004
  4.1688991e+004  2.4487200e+004
  3.9429395e+004  2.3174800e+004
  3.7307494e+004  2.2015800e+004
  3.5840378e+004  2.1092200e+004
  3.7049013e+004  2.1772900e+004
  4.1965555e+004  2.4673000e+004
  4.8042169e+004  2.8306900e+004
  5.3856833e+004  3.1675300e+004
  5.8199737e+004  3.4218800e+004
  6.1362996e+004  3.6053100e+004
  6.1925537e+004  3.6520700e+004
  6.1939166e+004  3.6402700e+004
  6.0217866e+004  3.5438000e+004
  5.7549130e+004  3.3862500e+004
  5.7693406e+004  3.3947400e+004
  5.8393120e+004  3.4336800e+004
  6.0484320e+004  3.5505000e+004
  6.4840486e+004  3.8330900e+004
  6.5675407e+004  3.8473600e+004
  6.4293049e+004  3.7864000e+004
  6.2877120e+004  3.6973500e+004
  5.9872752e+004  3.5118100e+004
  5.8745675e+004  3.4611900e+004
  5.3389456e+004  3.1403800e+004
  4.8360947e+004  2.8399500e+004
  4.5507039e+004  2.6703800e+004
  4.3185622e+004  2.5556900e+004
  4.2340402e+004  2.4856500e+004
  4.1811688e+004  2.4658100e+004
  4.5875010e+004  2.6912600e+004
  5.0841058e+004  2.9956300e+004
  5.6943062e+004  3.3573200e+004
  5.9708785e+004  3.5039500e+004
  6.4764153e+004  3.8049000e+004
  6.3722872e+004  3.7639300e+004
  6.3465721e+004  3.7295200e+004
  6.1680214e+004  3.6294800e+004
  5.8792482e+004  3.4528300e+004
  5.8529195e+004  3.4462400e+004
  5.9187168e+004  3.4782500e+004
  6.1332384e+004  3.5971700e+004
  6.5246827e+004  3.8650400e+004
  6.6362824e+004  3.8807900e+004
  6.4760263e+004  3.8145300e+004
  6.3382831e+004  3.7291000e+004
  6.0350405e+004  3.5378200e+004
  5.9312739e+004  3.4998500e+004
  5.4243797e+004  3.1922300e+004
  4.9543011e+004  2.8999300e+004
  4.5918487e+004  2.6976500e+004
  4.3051591e+004  2.5563700e+004
  4.2632113e+004  2.4971500e+004
  4.2491082e+004  2.5092700e+004
  4.6070400e+004  2.6973800e+004
  5.0341006e+004  2.9647700e+004
  5.7475500e+004  3.3934800e+004
  6.1439742e+004  3.6026100e+004
  6.3164634e+004  3.7111100e+004
  6.3074033e+004  3.7322500e+004
  6.3214383e+004  3.7135800e+004
  6.1679299e+004  3.6278200e+004
  5.8791581e+004  3.4481100e+004
  5.7886991e+004  3.4146300e+004
  5.8342776e+004  3.4259800e+004
  6.0609209e+004  3.5485100e+004
  6.4909408e+004  3.8495000e+004
  6.6338406e+004  3.8735100e+004
  6.4567341e+004  3.8100000e+004
  6.4129265e+004  3.7682200e+004
  6.0932820e+004  3.5717000e+004
