X1	X2	Y
  1.6932784e+000  8.6745737e+000  0.0000000e+000
  1.5467251e+000  7.8998981e+000  0.0000000e+000
  1.7025217e+000  8.1356998e+000  0.0000000e+000
  2.3218942e+000  7.8551467e+000  0.0000000e+000
  1.6946769e+000  8.5110830e+000  0.0000000e+000
  1.7974844e+000  8.2008749e+000  0.0000000e+000
  1.5304941e+000  8.1937818e+000  0.0000000e+000
  1.8209873e+000  8.2334481e+000  0.0000000e+000
  1.4544197e+000  8.1898949e+000  0.0000000e+000
  1.1815331e+000  8.3031941e+000  0.0000000e+000
  1.7720308e+000  8.3541597e+000  0.0000000e+000
  2.2748696e+000  8.5887327e+000  0.0000000e+000
  1.2088064e+000  8.4678961e+000  0.0000000e+000
  1.5357069e+000  8.8620958e+000  0.0000000e+000
  1.5557245e+000  7.9407676e+000  0.0000000e+000
  1.5604063e+000  8.7952389e+000  0.0000000e+000
  1.9834489e+000  7.9445807e+000  0.0000000e+000
  1.4417221e+000  8.3571787e+000  0.0000000e+000
  1.4961906e+000  7.9002027e+000  0.0000000e+000
  1.3812575e+000  7.9342404e+000  0.0000000e+000
  1.7263218e+000  7.8986197e+000  0.0000000e+000
  1.5323954e+000  8.4188189e+000  0.0000000e+000
  1.8739822e+000  8.6603315e+000  0.0000000e+000
  1.3866706e+000  8.0603031e+000  0.0000000e+000
  1.6878571e+000  8.3492607e+000  0.0000000e+000
  1.5834064e+000  8.4405116e+000  0.0000000e+000
  1.7669858e+000  8.3678898e+000  0.0000000e+000
  2.0584578e+000  8.1646961e+000  0.0000000e+000
  1.8353501e+000  8.2409075e+000  0.0000000e+000
  1.6630422e+000  7.7052797e+000  0.0000000e+000
  1.8345735e+000  8.3672258e+000  0.0000000e+000
  2.1097260e+000  7.9038820e+000  0.0000000e+000
  1.4364668e+000  8.4276534e+000  0.0000000e+000
  1.6739442e+000  8.8246299e+000  0.0000000e+000
  1.6402472e+000  8.3182429e+000  0.0000000e+000
